incluido;id_contrato;referencia;dependencia;proveedor;categorias;valor_contrato;tipo_inferido;estado;fecha_aprobacion;valor_resultante;dias_extendidos;proposito_texto
SI;CO1.PCCNTR.8774223;4131.010.26.1.0032-2026;Cali · Hacienda;JUAN PABLO ORTIZ HENAO;Cafetería y suministros;28830000;Aclaración o corrección;Publicado;2026-05-29;28830000;61;SE PUBLICA MODIFICATORIO MEDIANTE EL CUAL SE CORRIGE ERROR DE DIGITACIÓN EN EL NÚMERO DE CONTRATO EN LA CLÁUSULA TERCERA DE LA MODIFICACIÓN 1 - VER ANEXOS
NO;CO1.PCCNTR.9130630;4143.010.26.1.0881.2026;Cali · Educación;WILLIAM BRYAND VELEZ AVILA;Logística y eventos;28315000;Adición en valor+Prórroga de plazo;Publicado;2026-05-14;28315000;30;Se realiza prorroga y adición por solicitud de supervisor.
NO;CO1.PCCNTR.8929017;1.260.19.13-2866;Valle · Mujer y Equidad de Género;Eiber Hernan Garcia Gallego;Transporte y viajes;24000000;Otra;Publicado;2026-02-10;24000000;0;La modificación mediante Otro Sí de la Cláusula Tercera Actividades Específicas del Contrato No. 1.260.19.13-2866-1 se realiza con el fin de ajustar y precisar la descripción de las actividades garantizando coherencia con el objeto contractual y la correcta ejecución del contrato sin afectar el valor ni el plazo inicialmente pactados.
SI;CO1.PCCNTR.8770572;4131.010.26.1.0021-2026;Cali · Hacienda;DORIS DEL CARMEN PORTILLO;Logística y eventos;21306000;Adición en valor+Prórroga de plazo;Publicado;2026-04-09;21306000;61;SE PRORROGA EL PLAZO DE EJECUCIÓN HASTA EL 30 DE JUNIO DE 2026 Y SE ADICIONAN 2 CUOTAS AL VALOR DEL CONTRATO - VER ANEXOS
SI;CO1.PCCNTR.8770572;4131.010.26.1.0021-2026;Cali · Hacienda;DORIS DEL CARMEN PORTILLO;Logística y eventos;21306000;Aclaración o corrección;Publicado;2026-05-29;21306000;61;SE PUBLICA MODIFICATORIO MEDIANTE EL CUAL SE CORRIGE ERROR DE DIGITACIÓN EN EL NÚMERO DE CONTRATO EN LA CLÁUSULA TERCERA DE LA MODIFICACIÓN 1 - VER ANEXOS
SI;CO1.PCCNTR.8776478;4131.010.26.1.0047-2026;Cali · Hacienda;LUZ NIRIAN SAA RAMOS;Cafetería y suministros;21306000;Adición en valor+Prórroga de plazo;Publicado;2026-04-09;21306000;61;SE PRORROGA EL PLAZO DE EJECUCIÓN HASTA EL 30 DE JUNIO DE 2026 Y SE ADICIONAN 2 CUOTAS AL VALOR DEL CONTRATO - VER ANEXOS
SI;CO1.PCCNTR.8776478;4131.010.26.1.0047-2026;Cali · Hacienda;LUZ NIRIAN SAA RAMOS;Cafetería y suministros;21306000;Aclaración o corrección;Publicado;2026-05-29;21306000;61;SE PUBLICA MODIFICATORIO MEDIANTE EL CUAL SE CORRIGE ERROR DE DIGITACIÓN EN EL NÚMERO DE CONTRATO EN LA CLÁUSULA TERCERA DE LA MODIFICACIÓN 1 - VER ANEXOS
SI;CO1.PCCNTR.8780636;4131.010.26.1.0166-2026;Cali · Hacienda;SANDRA VIVIANA LOZANO CHAVEZ;Logística y eventos;21306000;Adición en valor+Prórroga de plazo;Publicado;2026-04-13;21306000;61;SE PRORROGA EL PLAZO DE EJECUCIÓN HASTA EL 30 DE JUNIO DE 2026 Y SE ADICIONAN 2 CUOTAS AL VALOR DEL CONTRATO- VER ANEXOS
SI;CO1.PCCNTR.8780636;4131.010.26.1.0166-2026;Cali · Hacienda;SANDRA VIVIANA LOZANO CHAVEZ;Logística y eventos;21306000;Aclaración o corrección;Publicado;2026-05-29;21306000;61;SE PUBLICA MODIFICATORIO MEDIANTE EL CUAL SE CORRIGE ERROR DE DIGITACIÓN EN EL NÚMERO DE CONTRATO EN LA CLÁUSULA TERCERA DE LA MODIFICACIÓN 1 - VER ANEXOS
SI;CO1.PCCNTR.8823414;4131.010.26.1.0462-2026;Cali · Hacienda;JUAN ARTURO SERNA BOLIVAR;Logística y eventos;21306000;Adición en valor+Prórroga de plazo;Publicado;2026-04-10;21306000;61;SE PRORROGA EL PLAZO DE EJECUCIÓN HASTA EL 30 DE JUNIO DE 2026 Y SE ADICIONAN 2 CUOTAS AL VALOR DEL CONTRATO- VER ANEXOS
